taxon_id,scientific_name,common_name,domain,reference_label,reference_display_name,model,model_display_name,baseline,target,delta,metric,domain_display_name
86f5b978-4f30-40cc-bd08-be9e3fba27a0,Sciurus carolinensis,eastern gray squirrel,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_naip,GRAFT NAIP refit,0.7553955996465476,0.7553955996465476,0.0,biolith_ap_test,Satellite refits
febff896-db40-4ac8-bcfe-5bb99a600950,Odocoileus hemionus,mule deer,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_naip,GRAFT NAIP refit,0.185971756785536,0.185971756785536,0.0,biolith_ap_test,Satellite refits
07843615-e1fc-49d8-9821-fd1d7ff2e773,Dasypus novemcinctus,nine-banded armadillo,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_naip,GRAFT NAIP refit,0.3543584064914952,0.3543584064914952,0.0,biolith_ap_test,Satellite refits
b57debc1-dff2-48d3-a400-f2b5021e71b0,Procyon lotor,northern raccoon,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_naip,GRAFT NAIP refit,0.7004592919288108,0.7004592919288108,0.0,biolith_ap_test,Satellite refits
ac0e8ba7-7261-4d17-8645-11ed3d02165a,Vulpes vulpes,red fox,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_naip,GRAFT NAIP refit,0.3991794417066966,0.3991794417066966,0.0,biolith_ap_test,Satellite refits
87be3a5c-e60a-4e7e-88c7-21544914d067,Didelphis virginiana,virginia opossum,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_naip,GRAFT NAIP refit,0.408172144703703,0.408172144703703,0.0,biolith_ap_test,Satellite refits
16ec4010-f175-4de7-8a99-85aadec3963b,Sciurus griseus,western gray squirrel,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_naip,GRAFT NAIP refit,0.4268192311994789,0.4268192311994789,0.0,biolith_ap_test,Satellite refits
5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Odocoileus virginianus,white-tailed deer,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_naip,GRAFT NAIP refit,0.8940484135722171,0.8940484135722171,0.0,biolith_ap_test,Satellite refits
436ddfdd-bc43-44c3-a25d-34671d3430a0,Ursus americanus,american black bear,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.2871141132979933,0.2871141132979933,0.0,biolith_ap_test,Satellite refits
ba76d46e-25de-45e2-90a8-bd279b650f7c,Lynx rufus,bobcat,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.2651732149806529,0.2651732149806529,0.0,biolith_ap_test,Satellite refits
5acf63fb-339d-42b1-af7e-95f6151ae5fb,Pecari tajacu,collared peccary,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.5217405220720577,0.5217405220720577,0.0,biolith_ap_test,Satellite refits
aaf3b049-36e6-46dd-9a07-8a580e9618b7,Canis latrans,coyote,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.4300841242175353,0.4300841242175353,0.0,biolith_ap_test,Satellite refits
f67c4346-bbbd-43d5-9b19-b541d493019b,Tamiasciurus douglasii,douglas's squirrel,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.2308938809483554,0.2308938809483554,0.0,biolith_ap_test,Satellite refits
1db1c6e2-2ea9-45a6-ab69-a730133298eb,Tamias striatus,eastern chipmunk,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.215330763683623,0.215330763683623,0.0,biolith_ap_test,Satellite refits
667a4650-a141-4c4e-844e-58cdeaeb4ae1,Sylvilagus floridanus,eastern cottontail,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.2349083171767569,0.2349083171767569,0.0,biolith_ap_test,Satellite refits
e07c537d-08b8-4c31-9768-51e4adf5a5ab,Sciurus niger,eastern fox squirrel,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.3055081436235494,0.3055081436235494,0.0,biolith_ap_test,Satellite refits
86f5b978-4f30-40cc-bd08-be9e3fba27a0,Sciurus carolinensis,eastern gray squirrel,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.7553955996465476,0.7553955996465476,0.0,biolith_ap_test,Satellite refits
febff896-db40-4ac8-bcfe-5bb99a600950,Odocoileus hemionus,mule deer,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.185971756785536,0.185971756785536,0.0,biolith_ap_test,Satellite refits
07843615-e1fc-49d8-9821-fd1d7ff2e773,Dasypus novemcinctus,nine-banded armadillo,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.3543584064914952,0.3543584064914952,0.0,biolith_ap_test,Satellite refits
b57debc1-dff2-48d3-a400-f2b5021e71b0,Procyon lotor,northern raccoon,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.7004592919288108,0.7004592919288108,0.0,biolith_ap_test,Satellite refits
ac0e8ba7-7261-4d17-8645-11ed3d02165a,Vulpes vulpes,red fox,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.3991794417066966,0.3991794417066966,0.0,biolith_ap_test,Satellite refits
87be3a5c-e60a-4e7e-88c7-21544914d067,Didelphis virginiana,virginia opossum,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.408172144703703,0.408172144703703,0.0,biolith_ap_test,Satellite refits
16ec4010-f175-4de7-8a99-85aadec3963b,Sciurus griseus,western gray squirrel,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.4268192311994789,0.4268192311994789,0.0,biolith_ap_test,Satellite refits
5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Odocoileus virginianus,white-tailed deer,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.8940484135722171,0.8940484135722171,0.0,biolith_ap_test,Satellite refits
436ddfdd-bc43-44c3-a25d-34671d3430a0,Ursus americanus,american black bear,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.7805325532355128,0.7805325532355128,0.0,biolith_roc_auc_test,Camera-trap refits
ba76d46e-25de-45e2-90a8-bd279b650f7c,Lynx rufus,bobcat,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.6846362475954961,0.6846362475954961,0.0,biolith_roc_auc_test,Camera-trap refits
5acf63fb-339d-42b1-af7e-95f6151ae5fb,Pecari tajacu,collared peccary,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.7650955414012739,0.7650955414012739,0.0,biolith_roc_auc_test,Camera-trap refits
aaf3b049-36e6-46dd-9a07-8a580e9618b7,Canis latrans,coyote,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.5192902499077923,0.5192902499077923,0.0,biolith_roc_auc_test,Camera-trap refits
f67c4346-bbbd-43d5-9b19-b541d493019b,Tamiasciurus douglasii,douglas's squirrel,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.5734042553191488,0.5734042553191488,0.0,biolith_roc_auc_test,Camera-trap refits
1db1c6e2-2ea9-45a6-ab69-a730133298eb,Tamias striatus,eastern chipmunk,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.7186055197547019,0.7186055197547019,0.0,biolith_roc_auc_test,Camera-trap refits
667a4650-a141-4c4e-844e-58cdeaeb4ae1,Sylvilagus floridanus,eastern cottontail,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.6465119054076043,0.6465119054076043,0.0,biolith_roc_auc_test,Camera-trap refits
e07c537d-08b8-4c31-9768-51e4adf5a5ab,Sciurus niger,eastern fox squirrel,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.7061110989826661,0.7061110989826661,0.0,biolith_roc_auc_test,Camera-trap refits
86f5b978-4f30-40cc-bd08-be9e3fba27a0,Sciurus carolinensis,eastern gray squirrel,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.8048437453365306,0.8048437453365306,0.0,biolith_roc_auc_test,Camera-trap refits
febff896-db40-4ac8-bcfe-5bb99a600950,Odocoileus hemionus,mule deer,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.2756416079454271,0.2756416079454271,0.0,biolith_roc_auc_test,Camera-trap refits
07843615-e1fc-49d8-9821-fd1d7ff2e773,Dasypus novemcinctus,nine-banded armadillo,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.5590357126853968,0.5590357126853968,0.0,biolith_roc_auc_test,Camera-trap refits
b57debc1-dff2-48d3-a400-f2b5021e71b0,Procyon lotor,northern raccoon,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.7178171643538334,0.7178171643538334,0.0,biolith_roc_auc_test,Camera-trap refits
ac0e8ba7-7261-4d17-8645-11ed3d02165a,Vulpes vulpes,red fox,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.8209114647024696,0.8209114647024696,0.0,biolith_roc_auc_test,Camera-trap refits
87be3a5c-e60a-4e7e-88c7-21544914d067,Didelphis virginiana,virginia opossum,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.638633359510155,0.638633359510155,0.0,biolith_roc_auc_test,Camera-trap refits
16ec4010-f175-4de7-8a99-85aadec3963b,Sciurus griseus,western gray squirrel,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.8826302729528536,0.8826302729528536,0.0,biolith_roc_auc_test,Camera-trap refits
5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Odocoileus virginianus,white-tailed deer,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.7737177863834126,0.7737177863834126,0.0,biolith_roc_auc_test,Camera-trap refits
436ddfdd-bc43-44c3-a25d-34671d3430a0,Ursus americanus,american black bear,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_visdiff,Camera-trap VisDiff refit,0.7805325532355128,0.7805325532355128,0.0,biolith_roc_auc_test,Camera-trap refits
ba76d46e-25de-45e2-90a8-bd279b650f7c,Lynx rufus,bobcat,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_visdiff,Camera-trap VisDiff refit,0.6846362475954961,0.6846362475954961,0.0,biolith_roc_auc_test,Camera-trap refits
5acf63fb-339d-42b1-af7e-95f6151ae5fb,Pecari tajacu,collared peccary,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_visdiff,Camera-trap VisDiff refit,0.7650955414012739,0.7650955414012739,0.0,biolith_roc_auc_test,Camera-trap refits
aaf3b049-36e6-46dd-9a07-8a580e9618b7,Canis latrans,coyote,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_visdiff,Camera-trap VisDiff refit,0.5192902499077923,0.5192902499077923,0.0,biolith_roc_auc_test,Camera-trap refits
f67c4346-bbbd-43d5-9b19-b541d493019b,Tamiasciurus douglasii,douglas's squirrel,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_visdiff,Camera-trap VisDiff refit,0.5734042553191488,0.5734042553191488,0.0,biolith_roc_auc_test,Camera-trap refits
1db1c6e2-2ea9-45a6-ab69-a730133298eb,Tamias striatus,eastern chipmunk,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_visdiff,Camera-trap VisDiff refit,0.7186055197547019,0.7186055197547019,0.0,biolith_roc_auc_test,Camera-trap refits
667a4650-a141-4c4e-844e-58cdeaeb4ae1,Sylvilagus floridanus,eastern cottontail,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_visdiff,Camera-trap VisDiff refit,0.6465119054076043,0.6465119054076043,0.0,biolith_roc_auc_test,Camera-trap refits
e07c537d-08b8-4c31-9768-51e4adf5a5ab,Sciurus niger,eastern fox squirrel,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_visdiff,Camera-trap VisDiff refit,0.7061110989826661,0.7061110989826661,0.0,biolith_roc_auc_test,Camera-trap refits
86f5b978-4f30-40cc-bd08-be9e3fba27a0,Sciurus carolinensis,eastern gray squirrel,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_visdiff,Camera-trap VisDiff refit,0.8048437453365306,0.8048437453365306,0.0,biolith_roc_auc_test,Camera-trap refits
febff896-db40-4ac8-bcfe-5bb99a600950,Odocoileus hemionus,mule deer,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_visdiff,Camera-trap VisDiff refit,0.2756416079454271,0.2756416079454271,0.0,biolith_roc_auc_test,Camera-trap refits
07843615-e1fc-49d8-9821-fd1d7ff2e773,Dasypus novemcinctus,nine-banded armadillo,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_visdiff,Camera-trap VisDiff refit,0.5590357126853968,0.5590357126853968,0.0,biolith_roc_auc_test,Camera-trap refits
b57debc1-dff2-48d3-a400-f2b5021e71b0,Procyon lotor,northern raccoon,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_visdiff,Camera-trap VisDiff refit,0.7178171643538334,0.7178171643538334,0.0,biolith_roc_auc_test,Camera-trap refits
ac0e8ba7-7261-4d17-8645-11ed3d02165a,Vulpes vulpes,red fox,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_visdiff,Camera-trap VisDiff refit,0.8209114647024696,0.8209114647024696,0.0,biolith_roc_auc_test,Camera-trap refits
87be3a5c-e60a-4e7e-88c7-21544914d067,Didelphis virginiana,virginia opossum,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_visdiff,Camera-trap VisDiff refit,0.638633359510155,0.638633359510155,0.0,biolith_roc_auc_test,Camera-trap refits
16ec4010-f175-4de7-8a99-85aadec3963b,Sciurus griseus,western gray squirrel,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_visdiff,Camera-trap VisDiff refit,0.8826302729528536,0.8826302729528536,0.0,biolith_roc_auc_test,Camera-trap refits
5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Odocoileus virginianus,white-tailed deer,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_visdiff,Camera-trap VisDiff refit,0.7737177863834126,0.7737177863834126,0.0,biolith_roc_auc_test,Camera-trap refits
436ddfdd-bc43-44c3-a25d-34671d3430a0,Ursus americanus,american black bear,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_naip,GRAFT NAIP refit,0.7805325532355128,0.7805325532355128,0.0,biolith_roc_auc_test,Satellite refits
ba76d46e-25de-45e2-90a8-bd279b650f7c,Lynx rufus,bobcat,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_naip,GRAFT NAIP refit,0.6846362475954961,0.6846362475954961,0.0,biolith_roc_auc_test,Satellite refits
5acf63fb-339d-42b1-af7e-95f6151ae5fb,Pecari tajacu,collared peccary,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_naip,GRAFT NAIP refit,0.7650955414012739,0.7650955414012739,0.0,biolith_roc_auc_test,Satellite refits
aaf3b049-36e6-46dd-9a07-8a580e9618b7,Canis latrans,coyote,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_naip,GRAFT NAIP refit,0.5192902499077923,0.5192902499077923,0.0,biolith_roc_auc_test,Satellite refits
f67c4346-bbbd-43d5-9b19-b541d493019b,Tamiasciurus douglasii,douglas's squirrel,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_naip,GRAFT NAIP refit,0.5734042553191488,0.5734042553191488,0.0,biolith_roc_auc_test,Satellite refits
1db1c6e2-2ea9-45a6-ab69-a730133298eb,Tamias striatus,eastern chipmunk,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_naip,GRAFT NAIP refit,0.7186055197547019,0.7186055197547019,0.0,biolith_roc_auc_test,Satellite refits
667a4650-a141-4c4e-844e-58cdeaeb4ae1,Sylvilagus floridanus,eastern cottontail,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_naip,GRAFT NAIP refit,0.6465119054076043,0.6465119054076043,0.0,biolith_roc_auc_test,Satellite refits
e07c537d-08b8-4c31-9768-51e4adf5a5ab,Sciurus niger,eastern fox squirrel,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_naip,GRAFT NAIP refit,0.7061110989826661,0.7061110989826661,0.0,biolith_roc_auc_test,Satellite refits
86f5b978-4f30-40cc-bd08-be9e3fba27a0,Sciurus carolinensis,eastern gray squirrel,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_naip,GRAFT NAIP refit,0.8048437453365306,0.8048437453365306,0.0,biolith_roc_auc_test,Satellite refits
febff896-db40-4ac8-bcfe-5bb99a600950,Odocoileus hemionus,mule deer,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_naip,GRAFT NAIP refit,0.2756416079454271,0.2756416079454271,0.0,biolith_roc_auc_test,Satellite refits
07843615-e1fc-49d8-9821-fd1d7ff2e773,Dasypus novemcinctus,nine-banded armadillo,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_naip,GRAFT NAIP refit,0.5590357126853968,0.5590357126853968,0.0,biolith_roc_auc_test,Satellite refits
b57debc1-dff2-48d3-a400-f2b5021e71b0,Procyon lotor,northern raccoon,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_naip,GRAFT NAIP refit,0.7178171643538334,0.7178171643538334,0.0,biolith_roc_auc_test,Satellite refits
ac0e8ba7-7261-4d17-8645-11ed3d02165a,Vulpes vulpes,red fox,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_naip,GRAFT NAIP refit,0.8209114647024696,0.8209114647024696,0.0,biolith_roc_auc_test,Satellite refits
87be3a5c-e60a-4e7e-88c7-21544914d067,Didelphis virginiana,virginia opossum,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_naip,GRAFT NAIP refit,0.638633359510155,0.638633359510155,0.0,biolith_roc_auc_test,Satellite refits
16ec4010-f175-4de7-8a99-85aadec3963b,Sciurus griseus,western gray squirrel,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_naip,GRAFT NAIP refit,0.8826302729528536,0.8826302729528536,0.0,biolith_roc_auc_test,Satellite refits
5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Odocoileus virginianus,white-tailed deer,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_naip,GRAFT NAIP refit,0.7737177863834126,0.7737177863834126,0.0,biolith_roc_auc_test,Satellite refits
436ddfdd-bc43-44c3-a25d-34671d3430a0,Ursus americanus,american black bear,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.7805325532355128,0.7805325532355128,0.0,biolith_roc_auc_test,Satellite refits
ba76d46e-25de-45e2-90a8-bd279b650f7c,Lynx rufus,bobcat,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.6846362475954961,0.6846362475954961,0.0,biolith_roc_auc_test,Satellite refits
5acf63fb-339d-42b1-af7e-95f6151ae5fb,Pecari tajacu,collared peccary,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.7650955414012739,0.7650955414012739,0.0,biolith_roc_auc_test,Satellite refits
aaf3b049-36e6-46dd-9a07-8a580e9618b7,Canis latrans,coyote,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.5192902499077923,0.5192902499077923,0.0,biolith_roc_auc_test,Satellite refits
f67c4346-bbbd-43d5-9b19-b541d493019b,Tamiasciurus douglasii,douglas's squirrel,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.5734042553191488,0.5734042553191488,0.0,biolith_roc_auc_test,Satellite refits
1db1c6e2-2ea9-45a6-ab69-a730133298eb,Tamias striatus,eastern chipmunk,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.7186055197547019,0.7186055197547019,0.0,biolith_roc_auc_test,Satellite refits
667a4650-a141-4c4e-844e-58cdeaeb4ae1,Sylvilagus floridanus,eastern cottontail,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.6465119054076043,0.6465119054076043,0.0,biolith_roc_auc_test,Satellite refits
e07c537d-08b8-4c31-9768-51e4adf5a5ab,Sciurus niger,eastern fox squirrel,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.7061110989826661,0.7061110989826661,0.0,biolith_roc_auc_test,Satellite refits
86f5b978-4f30-40cc-bd08-be9e3fba27a0,Sciurus carolinensis,eastern gray squirrel,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.8048437453365306,0.8048437453365306,0.0,biolith_roc_auc_test,Satellite refits
febff896-db40-4ac8-bcfe-5bb99a600950,Odocoileus hemionus,mule deer,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.2756416079454271,0.2756416079454271,0.0,biolith_roc_auc_test,Satellite refits
07843615-e1fc-49d8-9821-fd1d7ff2e773,Dasypus novemcinctus,nine-banded armadillo,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.5590357126853968,0.5590357126853968,0.0,biolith_roc_auc_test,Satellite refits
b57debc1-dff2-48d3-a400-f2b5021e71b0,Procyon lotor,northern raccoon,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.7178171643538334,0.7178171643538334,0.0,biolith_roc_auc_test,Satellite refits
ac0e8ba7-7261-4d17-8645-11ed3d02165a,Vulpes vulpes,red fox,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.8209114647024696,0.8209114647024696,0.0,biolith_roc_auc_test,Satellite refits
87be3a5c-e60a-4e7e-88c7-21544914d067,Didelphis virginiana,virginia opossum,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.638633359510155,0.638633359510155,0.0,biolith_roc_auc_test,Satellite refits
16ec4010-f175-4de7-8a99-85aadec3963b,Sciurus griseus,western gray squirrel,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.8826302729528536,0.8826302729528536,0.0,biolith_roc_auc_test,Satellite refits
5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Odocoileus virginianus,white-tailed deer,satellite,sat_env_baseline,Sat+env baseline,graft_visdiff_sentinel,GRAFT Sentinel refit,0.7737177863834126,0.7737177863834126,0.0,biolith_roc_auc_test,Satellite refits
436ddfdd-bc43-44c3-a25d-34671d3430a0,Ursus americanus,american black bear,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.2599670533421127,0.2599670533421127,0.0,lr_map_test,Camera-trap refits
ba76d46e-25de-45e2-90a8-bd279b650f7c,Lynx rufus,bobcat,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.2394814049369751,0.2394814049369751,0.0,lr_map_test,Camera-trap refits
5acf63fb-339d-42b1-af7e-95f6151ae5fb,Pecari tajacu,collared peccary,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.4816221988689003,0.4816221988689003,0.0,lr_map_test,Camera-trap refits
aaf3b049-36e6-46dd-9a07-8a580e9618b7,Canis latrans,coyote,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.3756131970238858,0.3756131970238858,0.0,lr_map_test,Camera-trap refits
f67c4346-bbbd-43d5-9b19-b541d493019b,Tamiasciurus douglasii,douglas's squirrel,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.3214704633725815,0.3214704633725815,0.0,lr_map_test,Camera-trap refits
1db1c6e2-2ea9-45a6-ab69-a730133298eb,Tamias striatus,eastern chipmunk,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.2183183998106624,0.2183183998106624,0.0,lr_map_test,Camera-trap refits
667a4650-a141-4c4e-844e-58cdeaeb4ae1,Sylvilagus floridanus,eastern cottontail,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.2397429502270366,0.2397429502270366,0.0,lr_map_test,Camera-trap refits
e07c537d-08b8-4c31-9768-51e4adf5a5ab,Sciurus niger,eastern fox squirrel,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.4615417761670711,0.4615417761670711,0.0,lr_map_test,Camera-trap refits
86f5b978-4f30-40cc-bd08-be9e3fba27a0,Sciurus carolinensis,eastern gray squirrel,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.7563659512720762,0.7563659512720762,0.0,lr_map_test,Camera-trap refits
febff896-db40-4ac8-bcfe-5bb99a600950,Odocoileus hemionus,mule deer,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.1823815210528672,0.1823815210528672,0.0,lr_map_test,Camera-trap refits
07843615-e1fc-49d8-9821-fd1d7ff2e773,Dasypus novemcinctus,nine-banded armadillo,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.3369952849997841,0.3369952849997841,0.0,lr_map_test,Camera-trap refits
b57debc1-dff2-48d3-a400-f2b5021e71b0,Procyon lotor,northern raccoon,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.6870920598916515,0.6870920598916515,0.0,lr_map_test,Camera-trap refits
ac0e8ba7-7261-4d17-8645-11ed3d02165a,Vulpes vulpes,red fox,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.3821108135624936,0.3821108135624936,0.0,lr_map_test,Camera-trap refits
87be3a5c-e60a-4e7e-88c7-21544914d067,Didelphis virginiana,virginia opossum,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.4174288182027036,0.4174288182027036,0.0,lr_map_test,Camera-trap refits
16ec4010-f175-4de7-8a99-85aadec3963b,Sciurus griseus,western gray squirrel,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.4371402328738453,0.4371402328738453,0.0,lr_map_test,Camera-trap refits
5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Odocoileus virginianus,white-tailed deer,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_expert,Camera-trap expert refit,0.8953310319512435,0.8953310319512435,0.0,lr_map_test,Camera-trap refits
436ddfdd-bc43-44c3-a25d-34671d3430a0,Ursus americanus,american black bear,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_visdiff,Camera-trap VisDiff refit,0.2599670533421127,0.2599670533421127,0.0,lr_map_test,Camera-trap refits
ba76d46e-25de-45e2-90a8-bd279b650f7c,Lynx rufus,bobcat,camera_trap,image_sat_env_baseline,Image+sat+env baseline,clip_visdiff,Camera-trap VisDiff refit,0.2394814049369751,0.2394814049369751,0.0,lr_map_test,Camera-trap refits
